product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000115447,bodycare,4.7,3,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,18,20,1,0,0,100
A000000116032,skincare,4.8,4,7,18,0,24,0,0,8,17,0,0,0.55,0.42,0.04,14,0,0,0,5,3,0,0,0,0,17,3,0,100
A000000116135,skincare,4.6,4,7,5,0,5,0,0,0,10,0,0,0.41,0.54,0.05,8,0,0,0,0,0,0,0,0,0,9,5,0,94
A000000116600,skincare,4.6,2,5,9,0,7,0,0,2,12,0,0,0.16,0.69,0.15,6,1,1,5,9,0,0,0,0,0,0,0,0,79
A000000116601,skincare,4.6,4,2,9,0,15,0,0,3,9,0,0,0.17,0.69,0.14,13,0,0,0,8,0,0,0,0,0,9,3,0,81
A000000116658,skincare,4.6,2,15,6,0,17,0,0,46,29,0,0,0.25,0.55,0.2,14,3,21,5,9,0,0,0,0,0,0,0,0,100
A000000116659,skincare,4.8,2,2,13,0,9,0,0,6,12,0,0,0.61,0.36,0.03,2,0,2,0,4,0,0,0,0,0,0,0,0,85
A000000117620,skincare,4.5,4,2,2,0,7,0,0,1,2,0,0,0.68,0.32,0,3,0,0,0,1,0,0,0,0,0,4,0,0,23
A000000117622,skincare,4.3,4,1,1,0,5,0,0,0,1,0,0,0.52,0.44,0.04,4,0,0,0,0,0,0,0,0,0,4,2,0,26
A000000117624,skincare,4.6,4,3,12,0,16,0,0,2,8,0,0,0.52,0.42,0.06,14,0,0,0,3,2,0,0,0,0,12,10,0,96
A000000117701,skincare,4.8,4,21,32,0,46,0,0,7,27,0,0,0.57,0.39,0.04,24,0,0,0,13,4,0,0,0,0,28,22,0,100
